sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
101,0.5859375,0.833984375,0.248046875,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
102,0.61328125,0.865234375,0.251953125,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
103,0.70703125,0.94921875,0.2421875,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
104,0.791015625,0.9140625,0.123046875,79,256,128,1,2,2,0,2,0.000896306504728379,0,0
105,0.671875,0.91015625,0.23828125,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
106,0.75,0.947265625,0.197265625,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
107,0.744140625,0.958984375,0.21484375,111,256,128,0,0,0,0,0,0.000896306504728379,0,0
108,0.611328125,0.845703125,0.234375,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
109,0.716796875,0.92578125,0.208984375,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
110,0.73046875,0.94921875,0.21875,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
111,0.59375,0.861328125,0.267578125,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
112,0.533203125,0.814453125,0.28125,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
113,0.646484375,0.88671875,0.240234375,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
114,0.779296875,0.939453125,0.16015625,99,256,128,1,4,4,0,4,0.000896306504728379,0,0
115,0.560546875,0.82421875,0.263671875,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
116,0.63671875,0.857421875,0.220703125,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
117,0.71875,0.884765625,0.166015625,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
118,0.57421875,0.830078125,0.255859375,154,256,128,0,0,0,0,0,0.000896306504728379,0,0
119,0.853515625,0.99609375,0.142578125,91,255,128,0,0,0,0,0,0.000896306504728379,0,0
120,0.654296875,0.841796875,0.1875,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
121,0.671875,0.861328125,0.189453125,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
122,0.583984375,0.806640625,0.22265625,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
123,0.609375,0.80859375,0.19921875,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
124,0.7265625,0.90234375,0.17578125,109,256,128,0,0,0,0,0,0.000896306504728379,0,0
125,0.591796875,0.859375,0.267578125,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
126,0.580078125,0.84375,0.263671875,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
127,0.7578125,0.955078125,0.197265625,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
128,0.8828125,0.994140625,0.111328125,76,256,128,0,0,0,0,0,0.000896306504728379,0,0
129,0.564453125,0.818359375,0.25390625,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
130,0.626953125,0.876953125,0.25,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
131,0.5546875,0.86328125,0.30859375,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
132,0.59765625,0.87109375,0.2734375,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
133,0.69921875,0.8984375,0.19921875,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
134,0.6875,0.91796875,0.23046875,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
135,0.654296875,0.89453125,0.240234375,129,256,128,0,0,0,0,0,0.000896306504728379,0,0
136,0.814453125,0.96484375,0.150390625,91,256,128,1,2,2,0,2,0.000896306504728379,0,0
137,0.654296875,0.84765625,0.193359375,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
138,0.58203125,0.830078125,0.248046875,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
139,0.705078125,0.865234375,0.16015625,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
140,0.759765625,0.9375,0.177734375,120,256,128,0,0,0,0,0,0.000896306504728379,0,0
141,0.7109375,0.97265625,0.26171875,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
142,0.66015625,0.87890625,0.21875,140,256,128,0,0,0,0,0,0.000896306504728379,0,0
143,0.69140625,0.91015625,0.21875,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
144,0.65234375,0.900390625,0.248046875,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
145,0.61328125,0.85546875,0.2421875,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
146,0.701171875,0.890625,0.189453125,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
147,0.615234375,0.85546875,0.240234375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
148,0.806640625,0.984375,0.177734375,109,256,128,0,0,0,0,0,0.000896306504728379,0,0
149,0.705078125,0.88671875,0.181640625,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
150,0.5625,0.79296875,0.23046875,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
151,0.603515625,0.865234375,0.26171875,154,256,128,0,0,0,0,0,0.000896306504728379,0,0
152,0.6640625,0.830078125,0.166015625,97,256,128,1,4,4,0,4,0.000896306504728379,0,0
153,0.693359375,0.900390625,0.20703125,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
154,0.56640625,0.845703125,0.279296875,136,256,128,0,0,0,0,0,0.000896306504728379,0,0
155,0.61328125,0.890625,0.27734375,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
156,0.798828125,0.935546875,0.13671875,86,256,128,1,2,2,0,2,0.000896306504728379,0,0
157,0.576171875,0.8984375,0.322265625,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
158,0.5625,0.826171875,0.263671875,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
159,0.744140625,0.943359375,0.19921875,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
160,0.6484375,0.892578125,0.244140625,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
161,0.607421875,0.830078125,0.22265625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
162,0.703125,0.89453125,0.19140625,112,256,128,0,0,0,0,0,0.000896306504728379,0,0
163,0.67578125,0.90234375,0.2265625,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
164,0.658203125,0.869140625,0.2109375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
165,0.609375,0.853515625,0.244140625,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
166,0.79296875,0.94921875,0.15625,105,256,128,0,0,0,0,0,0.000896306504728379,0,0
167,0.6171875,0.8828125,0.265625,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
168,0.599609375,0.830078125,0.23046875,126,256,128,0,0,0,0,0,0.000896306504728379,0,0
169,0.8515625,0.990234375,0.138671875,73,228,128,1,4,4,0,4,0.000896306504728379,0,0
170,0.734375,0.955078125,0.220703125,103,256,128,0,0,0,0,0,0.000896306504728379,0,0
171,0.72265625,0.927734375,0.205078125,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
172,0.578125,0.830078125,0.251953125,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
173,0.578125,0.8046875,0.2265625,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
174,0.802734375,0.96875,0.166015625,97,256,128,0,0,0,0,0,0.000896306504728379,0,0
175,0.564453125,0.859375,0.294921875,176,256,128,0,0,0,0,0,0.000896306504728379,0,0
176,0.58203125,0.84765625,0.265625,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
177,0.75,0.970703125,0.220703125,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
178,0.703125,0.947265625,0.244140625,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
179,0.5,0.826171875,0.326171875,162,256,128,0,0,0,0,0,0.000896306504728379,0,0
180,0.58984375,0.8203125,0.23046875,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
181,0.50390625,0.779296875,0.275390625,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
182,0.7265625,0.958984375,0.232421875,113,256,128,0,0,0,0,0,0.000896306504728379,0,0
183,0.634765625,0.869140625,0.234375,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
