sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
152,0.6640625,0.88671875,0.22265625,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
153,0.693359375,0.94921875,0.255859375,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
154,0.56640625,0.8359375,0.26953125,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
155,0.61328125,0.875,0.26171875,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
156,0.798828125,0.96484375,0.166015625,100,256,128,0,0,0,0,0,0.000896306504728379,0,0
157,0.576171875,0.90625,0.330078125,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
158,0.5625,0.861328125,0.298828125,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
159,0.744140625,0.951171875,0.20703125,111,256,128,0,0,0,0,0,0.000896306504728379,0,0
160,0.6484375,0.85546875,0.20703125,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
161,0.607421875,0.87890625,0.271484375,153,256,128,0,0,0,0,0,0.000896306504728379,0,0
162,0.703125,0.912109375,0.208984375,118,256,128,0,0,0,0,0,0.000896306504728379,0,0
163,0.67578125,0.916015625,0.240234375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
164,0.658203125,0.91015625,0.251953125,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
165,0.609375,0.84375,0.234375,140,256,128,0,0,0,0,0,0.000896306504728379,0,0
166,0.79296875,0.98046875,0.1875,107,256,128,0,0,0,0,0,0.000896306504728379,0,0
167,0.6171875,0.888671875,0.271484375,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
168,0.599609375,0.8515625,0.251953125,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
169,0.8515625,0.994140625,0.142578125,84,240,120,0,0,0,0,0,0.000896306504728379,0,1
170,0.734375,0.94921875,0.21484375,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
171,0.72265625,0.904296875,0.181640625,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
172,0.578125,0.849609375,0.271484375,165,256,128,0,0,0,0,0,0.000896306504728379,0,0
173,0.578125,0.83203125,0.25390625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
174,0.802734375,0.98828125,0.185546875,104,256,128,0,0,0,0,0,0.000896306504728379,0,0
